sl no,state_ut,eligible_applications_2026,loans_sanctioned_2026,loans_disbursed_2026,disbursed_amount_crore_2026,beneficiaries_2026,loans_repaid_2026,digitally_active_2026,data_date
1,Andaman & Nicobar Islands ,1227,1151,1131,2.29,554,799,436,13-06-2026
2,Andhra Pradesh,728969,665144,649228,1058.54,426449,325509,320848,13-06-2026
3,Arunachal Pradesh,11178,9406,8977,16.43,5265,5932,4123,13-06-2026
4,Assam,247365,212977,208205,349.54,131783,118665,92542,13-06-2026
5,Bihar,343588,210293,201848,287.41,155011,94095,95883,13-06-2026
6,Chandigarh,9462,8939,8859,15.87,5025,6246,4079,13-06-2026
7,Chhattisgarh,205286,167962,163484,259.03,113061,83008,75628,13-06-2026
8,Delhi,436196,272075,262248,371.19,197052,142114,152511,13-06-2026
9,Dadra and Nagar Haveli and daman and Diu,3778,3665,3637,6.03,2251,2062,1820,13-06-2026
10,Goa,3639,3221,3159,6.03,1783,2118,1309,13-06-2026
11,Gujrat,989666,825651,811446,1367.67,520401,465957,377809,13-06-2026
12,Haryana,402901,276061,264225,390.55,196784,118897,133733,13-06-2026
13,Himachal Pradesh,11882,11035,10925,22.07,5577,7180,4310,13-06-2026
14,Jammu & Kashmir,35760,30394,29404,51.61,17836,19221,11480,13-06-2026
15,Jharkand,171444,135042,130971,193.64,95594,69505,66019,13-06-2026
16,Karnataka,791347,680383,662847,1106.87,423266,398580,330539,13-06-2026
17,Kerela,236641,203083,197522,325.26,125169,109863,96225,13-06-2026
18,Ladakh,925,876,868,1.68,466,575,355,13-06-2026
19,Lakshadweep,0,0,0,0,0,0,0,13-06-2026
20,Madhya Pradesh,1918665,1616100,1597092,2703.78,1008611,824516,698606,13-06-2026
21,Maharashtra,1666774,1371260,1331278,2023.34,942303,678035,736561,13-06-2026
22,Manipur,18273,14868,14703,22.74,9989,9912,6133,13-06-2026
23,Meghalaya,8971,6941,6369,10.19,4332,3674,3030,13-06-2026
24,Mizoram,5419,4542,4425,7.33,2902,2565,2578,13-06-2026
25,Nagaland,8591,6470,6361,10.44,4433,3748,3689,13-06-2026
26,Odisha,152637,122782,118495,203.13,72712,68859,52092,13-06-2026
27,Puducherry,7687,6399,6244,10.85,3681,3775,2714,13-06-2026
28,Punjab,316345,272676,261989,386.32,191188,125393,119606,13-06-2026
29,Sikkim,2952,2568,2525,4.2,1667,1149,1237,13-06-2026
30,Rajasthan,365719,307409,302573,430.47,226827,164273,158887,13-06-2026
31,Tamil Nadu,800294,672958,658314,1070.47,421806,417538,293451,13-06-2026
32,Telangana,858450,777859,773794,1378.18,446997,475798,347728,13-06-2026
33,Tripura,11793,9625,9369,15.47,6140,5050,3157,13-06-2026
34,Uttar Pradesh,2479773,2286638,2244607,3371.29,1540694,1129177,1093353,13-06-2026
35,Uttarakhand,63346,51505,50656,87.4,31363,28516,22556,13-06-2026
36,West Bengal,473320,365452,352571,508.79,269008,163205,162710,13-06-2026
